State,year_month,pdsi
CA,2000-04,-0.56
CA,2000-05,-0.42
CA,2000-06,-0.44
CA,2000-07,-0.8
CA,2000-08,-0.79
CA,2000-09,-0.83
CA,2000-10,-0.11
CA,2000-11,-0.76
CA,2000-12,-1.93
CA,2001-01,-2.35
CA,2001-02,-2.06
CA,2001-03,-2.36
CA,2001-04,-1.99
CA,2001-05,-2.36
CA,2001-06,-2.66
CA,2001-07,-2.79
CA,2001-08,-2.89
CA,2001-09,-2.82
CA,2001-10,-3.09
CA,2001-11,-2.24
CA,2001-12,-1.42
CA,2002-01,-1.69
CA,2002-02,-2.24
CA,2002-03,-2.48
CA,2002-04,-2.68
CA,2002-05,-2.58
CA,2002-06,-2.76
CA,2002-07,-3.07
CA,2002-08,-3.28
CA,2002-09,-3.37
CA,2002-10,-3.77
CA,2002-11,0.09
CA,2002-12,1.6
CA,2003-01,0.69
CA,2003-02,0.37
CA,2003-03,0.1
CA,2003-04,1.4
CA,2003-05,1.53
CA,2003-06,1.53
CA,2003-07,-0.19
CA,2003-08,-0.01
CA,2003-09,-0.4
CA,2003-10,-1.35
CA,2003-11,-1.28
CA,2003-12,0.66
CA,2004-01,0.14
CA,2004-02,1.01
CA,2004-03,-1.19
CA,2004-04,-1.7
CA,2004-05,-2.15
CA,2004-06,-2.8
CA,2004-07,-3.26
CA,2004-08,-3.23
CA,2004-09,-3.26
CA,2004-10,1.6
CA,2004-11,1.26
CA,2004-12,1.73
CA,2005-01,2.33
CA,2005-02,2.28
CA,2005-03,2.21
CA,2005-04,2.09
CA,2005-05,3.17
CA,2005-06,3.83
CA,2005-07,4.58
CA,2005-08,4.08
CA,2005-09,3.55
CA,2005-10,3.01
CA,2005-11,2.42
CA,2005-12,3.46
CA,2006-01,3.49
CA,2006-02,2.84
CA,2006-03,3.71
CA,2006-04,4.61
CA,2006-05,-0.05
CA,2006-06,-0.14
CA,2006-07,-0.68
CA,2006-08,-1.1
CA,2006-09,-1.44
CA,2006-10,-1.78
CA,2006-11,-1.91
CA,2006-12,-2.02
CA,2007-01,-3.09
CA,2007-02,-2.81
CA,2007-03,-3.73
CA,2007-04,-3.65
CA,2007-05,-3.88
CA,2007-06,-4.28
CA,2007-07,-4.47
CA,2007-08,-4.42
CA,2007-09,-3.92
CA,2007-10,-3.33
CA,2007-11,-3.88
CA,2007-12,-3.75
CA,2008-01,-2.36
CA,2008-02,-2.33
CA,2008-03,-3.18
CA,2008-04,-3.53
CA,2008-05,-3.6
CA,2008-06,-3.98
CA,2008-07,-4.22
CA,2008-08,-4.2
CA,2008-09,-4.29
CA,2008-10,-4.3
CA,2008-11,-4.13
CA,2008-12,-3.99
CA,2009-01,-4.81
CA,2009-02,-4.15
CA,2009-03,-4.08
CA,2009-04,-4.2
CA,2009-05,-3.67
CA,2009-06,-3.39
CA,2009-07,-3.27
CA,2009-08,-3.28
CA,2009-09,-3.43
CA,2009-10,-2.51
CA,2009-11,-3.0
CA,2009-12,-3.0
CA,2010-01,0.67
CA,2010-02,0.66
CA,2010-03,0.22
CA,2010-04,1.22
CA,2010-05,1.5
CA,2010-06,1.93
CA,2010-07,1.94
